防具总数: 284

=== 凡品 (12件) ===
名字                   物防     魔防     物攻     魔攻     神识     等级要求              价格  特殊属性
瑶光履                  70     34      0      0     19        0      16,360,000  dodge_rate=1, crit_resist=2
开阳靴                  76     30      0      0     18        0      17,210,000  crit_resist=4
寒月履                  92     42      0      0     28        0      34,250,000  dodge_rate=2, crit_resist=5
玄冥靴                  99     47      0      0     28        0      34,250,000  dodge_rate=1
霜魄屐                  87     47      0      0     30        0      34,250,000  crit_resist=3
广寒鞋                  88     45      0      0     30        0      34,250,000  dodge_rate=1, crit_resist=2
夜幽履                  86     42      0      0     27        0      34,250,000  dodge_rate=3, crit_resist=4
冰魄靴                  98     44      0      0     28        0      34,250,000  dodge_rate=3
紫微星戒                 66     32      0      0     20        0      16,480,000  dodge_rate=2, crit_resist=5
天权环                  69     35      0      0     19        0      17,520,000  crit_resist=5
璇玑戒                  68     34      0      0     21        0      17,520,000  dodge_rate=1
玉衡指环                 76     33      0      0     19        0      17,520,000  dodge_rate=2
瑶光环                  71     31      0      0     19        0      18,560,000  dodge_rate=3, crit_resist=3
开阳戒                  77     33      0      0     22        0      19,590,000  dodge_rate=3, crit_resist=3

=== 皇品 (53件) ===
名字                   物防     魔防     物攻     魔攻     神识     等级要求              价格  特殊属性
------------------------------------------------------------------------------------------------------------------------
寒髓胄                 106     51      0      0     33        0      53,940,000  reflect_pct=4
玄冰铠                 108     51      0      0     33        0      53,940,000  dodge_rate=4
幽影褂                 116     58      0      0     37        0      55,040,000  dodge_rate=4
霜纹甲                 122     52      0      0     38        0      56,140,000  reflect_pct=2
月魄衫                 110     52      0      0     35        0      56,140,000  crit_resist=5, reflect_pct=5
广寒衣                 116     51      0      0     34        0      55,040,000  reflect_pct=5
金乌胄                 119     62      0      0     38        0      60,550,000  dodge_rate=2, reflect_pct=2
伪日曜铠                121     59      0      0     36        0      61,650,000  dodge_rate=4
羲和衫                 130     64      0      0     40        0      61,650,000  reflect_pct=4
伪扶桑甲                120     59      0      0     38        0      61,650,000  crit_resist=5, reflect_pct=4
昊阳褂                 125     61      0      0     38        0      61,650,000  dodge_rate=2, reflect_pct=3
炽天衣                 131     63      0      0     38        0      62,760,000  crit_resist=4
避水法袍                 93     42      0      0     25        0      35,200,000  crit_resist=6, reflect_pct=5
青溪法袍                 93     40      0      0     26        0      37,400,000  crit_resist=3
驱厄灵袍                 90     41      0      0     26        0      39,610,000  crit_resist=7
三阳道袍                 95     48      0      0     26        0      41,810,000  crit_resist=5, reflect_pct=4
皇鳞甲                 130     68      0      0     43        0      69,710,000  crit_resist=7
伪日曜金袍                88     43      0      0     25        0      37,400,000  reflect_pct=2
羲和法氅                 90     46      0      0     24        0      38,500,000  crit_resist=7, reflect_pct=3
伪扶桑云衣                95     41      0      0     26        0      37,400,000  reflect_pct=5
昊阳锦氅                 91     46      0      0     26        0      38,500,000  crit_resist=5
金乌羽裳                 92     46      0      0     25        0      39,610,000  dodge_rate=4, crit_resist=4
炽天星帔                101     43      0      0     28        0      39,610,000  dodge_rate=2
伪混元道袍               123     65      0      0     43        0      66,650,000  crit_resist=7
太极云裳                128     67      0      0     42        0      66,650,000  dodge_rate=3, crit_resist=4
伪归墟法氅               123     64      0      0     43        0      66,650,000  dodge_rate=4, reflect_pct=5
伪鸿蒙星帔               128     65      0      0     40        0      68,180,000  dodge_rate=4, crit_resist=3
伪无极玄衣               125     67      0      0     42        0      68,180,000  crit_resist=5
伪混沌羽氅               123     67      0      0     39        0      68,180,000  crit_resist=6
伪日曜金靴                88     44      0      0     24        0      37,400,000  crit_resist=6
羲和履                  96     42      0      0     25        0      38,500,000  crit_resist=7
伪扶桑屐                 88     42      0      0     27        0      37,400,000  dodge_rate=3, crit_resist=6
昊阳靴                 103     46      0      0     28        0      38,500,000  crit_resist=7, reflect_pct=4
金乌鞋                 102     45      0      0     27        0      39,610,000  dodge_rate=3, crit_resist=7
炽天履                 101     48      0      0     27        0      39,610,000  reflect_pct=3
伪混元履                129     66      0      0     44        0      66,650,000  reflect_pct=5
太极靴                 129     58      0      0     43        0      66,650,000  reflect_pct=4
伪归墟屐                125     60      0      0     39        0      66,650,000  crit_resist=4, reflect_pct=3
伪鸿蒙鞋                130     69      0      0     43        0      68,180,000  dodge_rate=4, reflect_pct=3
伪混沌履                137     61      0      0     41        0      68,180,000  reflect_pct=3
伪无极靴                139     66      0      0     44        0      68,180,000  dodge_rate=2, crit_resist=7
寒月戒                  87     40      0      0     24        0      35,590,000  dodge_rate=2, crit_resist=6
玄冥环                  99     40      0      0     23        0      35,590,000  crit_resist=7
霜魄戒                  96     39      0      0     24        0      35,590,000  crit_resist=6
广寒指环                 90     46      0      0     25        0      37,010,000  dodge_rate=3, crit_resist=4
夜幽戒                  96     47      0      0     27        0      38,430,000  reflect_pct=4
冰魄环                 105     44      0      0     28        0      39,840,000  crit_resist=4, reflect_pct=3
伪日曜金戒               101     46      0      0     31        0      44,090,000  reflect_pct=5
羲和环                 106     46      0      0     30        0      45,510,000  dodge_rate=3, reflect_pct=3
伪扶桑戒                105     45      0      0     29        0      44,090,000  dodge_rate=3, crit_resist=6
昊阳指环                103     46      0      0     31        0      45,510,000  crit_resist=7, reflect_pct=2
金乌戒                 102     48      0      0     29        0      44,090,000  crit_resist=4
炽天环                 104     50      0      0     29        0      44,090,000  crit_resist=6

=== 帝品 (13件) ===
名字                   物防     魔防     物攻     魔攻     神识     等级要求              价格  特殊属性
------------------------------------------------------------------------------------------------------------------------
太虚胄                 143     66      0      0     39        0     113,999,999  dodge_rate=4, crit_resist=7
伪混元衫                132     67      0      0     38        0     113,999,999  reflect_pct=5, block_value=42
伪归墟铠                135     69      0      0     39        0     112,999,999  dodge_rate=4
伪鸿蒙褂                136     68      0      0     43        0     112,999,999  dodge_rate=5
伪混沌衣                143     65      0      0     43        0     113,999,999  reflect_pct=3, block_value=41
伪无极甲                131     68      0      0     40        0     113,999,999  crit_resist=8
伪混元戒                130     59      0      0     33        0      72,770,000  block_value=76
太极环                 113     54      0      0     32        0      70,860,000  reflect_pct=4
伪归墟戒                129     53      0      0     30        0      72,770,000  dodge_rate=2
伪鸿蒙指环               115     58      0      0     31        0      72,770,000  dodge_rate=5, reflect_pct=5
伪混沌戒                129     54      0      0     33        0      72,770,000  dodge_rate=2, block_value=63
伪无极环                126     58      0      0     31        0      72,770,000  crit_resist=6, reflect_pct=3
冰魄纳灵戒               170     79      0      0     60        0     198,000,000  reflect_pct=6

=== 道品 (60件) ===
名字                   物防     魔防     物攻     魔攻     神识     等级要求              价格  特殊属性
------------------------------------------------------------------------------------------------------------------------
玄玉护心甲               199     97      0      0     60        0     521,000,000  dodge_rate=4, crit_resist=8
阴煞蚀骨甲               187     89      0      0     60        0     425,000,000  reflect_pct=7, hp_regen_pct=1.13
雾隐化形甲               199     94      0      0     60        0     517,000,000  reflect_pct=6, hp_regen_pct=0.68
三魂护命甲               183     80      0      0     53        0     353,000,000  dodge_rate=4
不化玄冰甲               200    102      0      0     59        0     521,000,000  dodge_rate=4, crit_resist=10
混沌胎息甲               186     82      0      0     56        0     416,000,000  block_value=145
焚心护体甲               167     79      0      0     49        0     278,000,000  hp_regen_pct=1.38
翎羽化生甲               156     80      0      0     45        0     278,000,000  block_value=114
熔岩锻骨甲               161     71      0      0     47        0     278,000,000  block_value=69
涅槃重生甲               150     73      0      0     48        0     278,000,000  reflect_pct=4, block_value=58
圣辉不灭甲               170     72      0      0     49        0     278,000,000  block_value=90, hp_regen_pct=0.55
玄黄镇狱甲               162     72      0      0     48        0     278,000,000  dodge_rate=6, block_value=91
广寒素雪袍               151     70      0      0     44        0     276,000,000  dodge_rate=6, block_value=94
千幻流云袍               154     75      0      0     46        0     298,000,000  dodge_rate=5, crit_resist=10
幽冥镇狱袍               165     67      0      0     43        0     210,000,000  dodge_rate=3, reflect_pct=3
阴司判官袍               150     73      0      0     39        0     210,000,000  reflect_pct=6, block_value=99
亘古长夜袍               155     69      0      0     43        0     244,000,000  crit_resist=6
万法归一袍               157     75      0      0     50        0     276,000,000  reflect_pct=4
烈阳照世袍               151     73      0      0     48        0     283,000,000  crit_resist=10, hp_regen_pct=1.31
日轮护法袍               173     75      0      0     46        0     283,000,000  crit_resist=9, block_value=83
天火流云袍               159     74      0      0     47        0     283,000,000  block_value=137, hp_regen_pct=1.15
曜世明光袍               171     70      0      0     44        0     283,000,000  block_value=78
天穹烈光袍               157     77      0      0     49        0     283,000,000  crit_resist=9
乾坤万象袍               153     70      0      0     44        0     283,000,000  reflect_pct=3, block_value=141
踏月无痕靴               149     72      0      0     41        0     202,999,999  crit_resist=5, block_value=50
残月遁空靴               159     74      0      0     46        0     310,000,000  crit_resist=6
黄泉渡魂靴               155     76      0      0     51        0     302,000,000  block_value=93
冥河踏浪靴               167     76      0      0     49        0     298,000,000  crit_resist=8, block_value=121
虚空穿行靴               180     76      0      0     52        0     320,000,000  hp_regen_pct=1.48
星移斗转靴               166     68      0      0     39        0     202,999,999  crit_resist=6, block_value=91
灼地步云靴               171     83      0      0     47        0     304,000,000  reflect_pct=7
逐日追风靴               162     74      0      0     45        0     304,000,000  crit_resist=8
炽空踏霄靴               171     75      0      0     51        0     304,000,000  dodge_rate=6, block_value=52
裂地熔岩靴               164     73      0      0     49        0     304,000,000  hp_regen_pct=1.43
踏日巡天靴               179     73      0      0     52        0     304,000,000  block_value=58
碎星凌虚靴               171     81      0      0     51        0     304,000,000  dodge_rate=4
奇门遁甲盘               202    106      0      0     73        0     643,000,000  dodge_rate=5, hp_regen_pct=0.58
月相轮转戒               162     68      0      0     41        0     215,000,000  block_value=59
鬼面噬灵戒               165     75      0      0     43        0     200,999,999  crit_resist=10
七魄凝神戒               142     66      0      0     42        0     200,999,999  hp_regen_pct=1.36
时砂溯流戒               148     71      0      0     39        0     219,000,000  crit_resist=6, reflect_pct=5
太阴本源戒               153     70      0      0     44        0     208,000,000  block_value=95
火精纳元戒               154     77      0      0     42        0     233,000,000  block_value=143
曜灵聚气戒               145     71      0      0     41        0     233,000,000  dodge_rate=3, crit_resist=7
炎魄凝神戒               169     76      0      0     47        0     233,000,000  block_value=105
炽凰精魄戒               150     76      0      0     46        0     233,000,000  reflect_pct=5
纯阳封魔戒               152     76      0      0     43        0     233,000,000  dodge_rate=6, crit_resist=6
太初真炎戒               150     74      0      0     42        0     233,000,000  dodge_rate=5
玄牝纳气戒               201    106      0      0     70        0     628,000,000  crit_resist=10, block_value=135
乾坤交感戒               191     95      0      0     69        0     628,000,000  crit_resist=8
白虎杀伐戒               194     97      0      0     73        0     628,000,000  dodge_rate=4
离火聚灵戒               223    107      0      0     73        0     628,000,000  crit_resist=6
二十八宿戒               214    110      0      0     63        0     628,000,000  dodge_rate=3
九转归真戒               203    101      0      0     67        0     628,000,000  block_value=111
坎水纳元戒               200    100      0      0     71        0     628,000,000  crit_resist=8, block_value=62
洛书演算戒               223    110      0      0     67        0     628,000,000  hp_regen_pct=0.76
三十六天罡戒              211     99      0      0     66        0     628,000,000  reflect_pct=7, hp_regen_pct=1.24
七十二地煞戒              221    104      0      0     64        0     628,000,000  hp_regen_pct=0.68
法则纳元戒               207    108      0      0     71        0     628,000,000  reflect_pct=4
空间锚定戒               195    101      0      0     67        0     628,000,000  dodge_rate=4, block_value=90

=== 仙品 (43件) ===
名字                   物防     魔防     物攻     魔攻     神识     等级要求              价格  特殊属性
------------------------------------------------------------------------------------------------------------------------
太极护心甲               199     86      0      0     52        0     732,000,000  dodge_rate=3, hp_regen_pct=1.71
刚柔化生甲               195     88      0      0     54        0     732,000,000  reflect_pct=5, hp_regen_pct=1.97
青龙鳞甲                200     82      0      0     48        0     732,000,000  reflect_pct=4, hp_regen_pct=1.67
戊土不破甲               179     84      0      0     52        0     732,000,000  crit_resist=11
紫薇护命甲               206     85      0      0     50        0     732,000,000  crit_resist=9, block_value=243
三花聚顶甲               193     93      0      0     52        0     732,000,000  reflect_pct=5
巽风护体甲               185     90      0      0     56        0     732,000,000  reflect_pct=4, hp_regen_pct=1.35
中宫镇魂甲               201     85      0      0     49        0     732,000,000  dodge_rate=7
紫微星陨甲               190     81      0      0     48        0     732,000,000  hp_regen_pct=1.01
九幽玄阴甲               190     91      0      0     53        0     732,000,000  block_value=207, hp_regen_pct=1.4
玄冥甲                 189     93      0      0     49        0     732,000,000  crit_resist=7
周天护体甲               184     83      0      0     52        0     732,000,000  crit_resist=11, reflect_pct=7
不灭源核甲               279    127      0      0     90        0   2,333,000,000  dodge_rate=3, block_value=171
女武神的叹息之壁            276    122      0      0     81        0   2,333,000,000  block_value=216, hp_regen_pct=1.36
猫咪玩偶服               253    127      0      0     86        0   2,333,000,000  crit_resist=8
危险兔坦娘               250    131      0      0     88        0   2,333,000,000  hp_regen_pct=1.45
铁布衫                 269    136      0      0     80        0   2,333,000,000  reflect_pct=4
混沌初开袍               193     91      0      0     57        0     801,000,000  reflect_pct=4, block_value=140
清浊分界袍               191     87      0      0     56        0     801,000,000  reflect_pct=5
星穹列宿袍               203     94      0      0     51        0     801,000,000  crit_resist=7, block_value=247
先天一气袍               201     93      0      0     51        0     801,000,000  crit_resist=10
万象归一袍               187     94      0      0     51        0     801,000,000  crit_resist=11
道法混元袍               189     83      0      0     56        0     801,000,000  block_value=94, hp_regen_pct=1.38
坤地载物袍               198     85      0      0     52        0     801,000,000  reflect_pct=5, hp_regen_pct=1.08
天元定星袍               193     81      0      0     55        0     801,000,000  dodge_rate=4, reflect_pct=6
斗姆元君袍               181     87      0      0     55        0     801,000,000  reflect_pct=8, block_value=203
酆都阎罗袍               188     92      0      0     56        0     801,000,000  dodge_rate=4
云梦皇袍                201     87      0      0     57        0     801,000,000  block_value=189
寰宇经纬袍               189     95      0      0     54        0     801,000,000  dodge_rate=7
六道轮回袍               277    146      0      0     86        0   2,617,000,000  dodge_rate=4, reflect_pct=5
两仪踏虚靴               197     89      0      0     50        0     819,999,999  crit_resist=7, reflect_pct=5
四象步天靴               193     90      0      0     51        0     819,999,999  block_value=85
朱雀焚空靴               193     87      0      0     56        0     819,999,999  dodge_rate=7
巽风穿云靴               191     95      0      0     51        0     819,999,999  block_value=164
斗转星移靴               200     89      0      0     52        0     819,999,999  crit_resist=11
五气朝元靴               204     96      0      0     50        0     819,999,999  crit_resist=9, block_value=109
震雷踏云靴               205     83      0      0     52        0     819,999,999  block_value=96
遁甲缩地靴               210     96      0      0     57        0     819,999,999  dodge_rate=6, crit_resist=10
踏罡步斗靴               191     92      0      0     57        0     819,999,999  hp_regen_pct=1.14
幽冥鬼步靴               182     94      0      0     55        0     819,999,999  crit_resist=7
缩地成寸靴               209     88      0      0     55        0     819,999,999  reflect_pct=8
乾坤挪移靴               204     89      0      0     55        0     819,999,999  dodge_rate=4, crit_resist=6
亘古踏天靴               261    126      0      0     86        0   2,571,000,000  reflect_pct=4, hp_regen_pct=1.24
